Species,Variety,Processing.Method,Total.Cup.Points,Moisture
Arabica,Caturra,Washed / Wet,82.42,0.11
Arabica,Bourbon,Washed / Wet,82.42,0.13
Arabica,Typica,Washed / Wet,82.42,0.12
Arabica,Caturra,Natural / Dry,82.42,0.0
Arabica,Other,Natural / Dry,82.42,0.11
Arabica,Caturra,Washed / Wet,82.42,0.0
Arabica,Caturra,Washed / Wet,82.33,0.1
Arabica,Catuai,Natural / Dry,82.33,0.11
Arabica,Bourbon,Natural / Dry,82.33,0.11
Arabica,Caturra,Washed / Wet,82.33,0.1
Arabica,Catuai,Washed / Wet,82.33,0.0
Arabica,Other,Other,82.33,0.12
Arabica,Bourbon,Natural / Dry,82.33,0.07
Arabica,Other,Natural / Dry,82.33,0.11
Arabica,Bourbon,Washed / Wet,82.33,0.1
Arabica,Other,Washed / Wet,82.33,0.12
Arabica,Bourbon,Natural / Dry,82.33,0.11
Arabica,Other,Washed / Wet,82.33,0.12
Arabica,Caturra,Washed / Wet,82.33,0.1
Arabica,Typica,Other,82.33,0.11
Arabica,Typica,Washed / Wet,82.33,0.11
Arabica,Bourbon,Washed / Wet,82.33,0.12
Arabica,Caturra,Washed / Wet,82.33,0.0
Arabica,Typica,Washed / Wet,82.33,0.12
Arabica,Bourbon,Washed / Wet,82.33,0.11
Arabica,Typica,Natural / Dry,82.33,0.15
Arabica,Bourbon,Washed / Wet,82.33,0.13
Arabica,Bourbon,Washed / Wet,82.33,0.1
Arabica,Other,Natural / Dry,82.33,0.12
Arabica,Typica,Washed / Wet,82.33,0.11
Arabica,Other,Washed / Wet,82.33,0.11
Arabica,Caturra,Natural / Dry,82.33,0.0
Arabica,Catuai,Washed / Wet,82.25,0.09
Arabica,Other,Washed / Wet,82.25,0.11
Arabica,Other,Natural / Dry,82.25,0.0
Arabica,Bourbon,Washed / Wet,82.25,0.12
Arabica,Catuai,Washed / Wet,82.25,0.11
Arabica,Other,Washed / Wet,82.25,0.13
Arabica,Bourbon,Natural / Dry,82.25,0.11
Arabica,Typica,Washed / Wet,82.25,0.11
Arabica,Other,Washed / Wet,82.25,0.12
Arabica,Other,Natural / Dry,82.25,0.0
Arabica,Bourbon,Washed / Wet,82.25,0.16
Arabica,Bourbon,Washed / Wet,82.25,0.11
Arabica,Bourbon,Washed / Wet,82.25,0.13
Arabica,Typica,Washed / Wet,82.25,0.12
Arabica,Other,Washed / Wet,82.25,0.0
Arabica,Typica,Washed / Wet,82.25,0.11
Arabica,Typica,Washed / Wet,82.25,0.1
Arabica,Caturra,Washed / Wet,82.25,0.12
Arabica,Caturra,Washed / Wet,82.25,0.11
Arabica,Other,Natural / Dry,82.25,0.12
Arabica,Bourbon,Natural / Dry,82.17,0.11
Arabica,Caturra,Washed / Wet,82.17,0.11
Arabica,Bourbon,Washed / Wet,82.17,0.13
Arabica,Other,Washed / Wet,82.17,0.12
Arabica,Other,Natural / Dry,82.17,0.0
Arabica,Catuai,Washed / Wet,82.17,0.11
Arabica,Bourbon,Washed / Wet,82.17,0.09
Arabica,Other,Natural / Dry,82.17,0.12
Arabica,Other,Washed / Wet,82.17,0.12
Arabica,Other,Washed / Wet,82.17,0.12
Arabica,Other,Washed / Wet,82.17,0.1
Arabica,Typica,Other,82.17,0.11
Arabica,Typica,Washed / Wet,82.17,0.0
Arabica,Caturra,Washed / Wet,82.17,0.0
Arabica,Typica,Washed / Wet,82.17,0.15
Arabica,Caturra,Washed / Wet,82.17,0.12
Arabica,Typica,Washed / Wet,82.17,0.12
Arabica,Typica,Washed / Wet,82.17,0.1
Arabica,Bourbon,Washed / Wet,82.08,0.15
Arabica,Caturra,Washed / Wet,82.08,0.0
Arabica,Bourbon,Natural / Dry,82.08,0.11
Arabica,Other,Natural / Dry,82.08,0.0
Arabica,Caturra,Washed / Wet,82.08,0.0
Arabica,Bourbon,Washed / Wet,82.08,0.12
Arabica,Other,Washed / Wet,82.08,0.12
Arabica,Caturra,Washed / Wet,82.08,0.11
Arabica,Other,Natural / Dry,82.08,0.11
Arabica,Typica,Washed / Wet,82.08,0.13
Arabica,Typica,Washed / Wet,82.08,0.13
Arabica,Typica,Washed / Wet,82.08,0.11
Arabica,Other,Natural / Dry,82.08,0.12
Arabica,Typica,Washed / Wet,82.08,0.11
Arabica,Other,Washed / Wet,82.08,0.1
Arabica,Caturra,Washed / Wet,82.0,0.12
Arabica,Caturra,Natural / Dry,82.0,0.1
Arabica,Bourbon,Natural / Dry,82.0,0.11
Arabica,Other,Washed / Wet,82.0,0.13
Arabica,Other,Washed / Wet,82.0,0.12
Arabica,Other,Washed / Wet,82.0,0.12
Arabica,Other,Washed / Wet,82.0,0.13
Arabica,Typica,Washed / Wet,82.0,0.09
Arabica,Catuai,Washed / Wet,82.0,0.1
Arabica,Caturra,Washed / Wet,82.0,0.11
Arabica,Caturra,Washed / Wet,82.0,0.11
Arabica,Typica,Washed / Wet,82.0,0.12
Arabica,Other,Natural / Dry,82.0,0.11
Arabica,Typica,Washed / Wet,82.0,0.12
Arabica,Other,Natural / Dry,82.0,0.12
Arabica,Catuai,Other,82.0,0.11
Arabica,Bourbon,Natural / Dry,82.0,0.11
Arabica,Other,Other,82.0,0.12
Arabica,Bourbon,Washed / Wet,82.0,0.0
Arabica,Bourbon,Washed / Wet,81.92,0.1
Arabica,Bourbon,Washed / Wet,81.92,0.11
Arabica,Caturra,Washed / Wet,81.92,0.12
Arabica,Catuai,Natural / Dry,81.92,0.11
Arabica,Bourbon,Washed / Wet,81.92,0.11
Arabica,Catuai,Washed / Wet,81.92,0.11
Arabica,Other,Washed / Wet,81.92,0.12
Arabica,Other,Washed / Wet,81.92,0.0
Arabica,Typica,Other,81.92,0.11
Arabica,Bourbon,Washed / Wet,81.92,0.12
Arabica,Typica,Other,81.92,0.13
Arabica,Other,Washed / Wet,81.92,0.14
Arabica,Other,Washed / Wet,81.92,0.12
Arabica,Bourbon,Washed / Wet,81.92,0.12
Arabica,Other,Natural / Dry,81.92,0.12
Arabica,Bourbon,Washed / Wet,81.83,0.1
Arabica,Catuai,Other,81.83,0.0
Arabica,Other,Natural / Dry,81.83,0.11
Arabica,Other,Other,81.83,0.11
Arabica,Bourbon,Washed / Wet,81.83,0.1
Arabica,Other,Natural / Dry,81.83,0.0
Arabica,Other,Natural / Dry,81.83,0.0
Arabica,Catuai,Washed / Wet,81.83,0.0
Arabica,Catuai,Washed / Wet,81.83,0.11
Arabica,Catuai,Washed / Wet,81.83,0.12
Arabica,Caturra,Washed / Wet,81.83,0.09
Arabica,Typica,Washed / Wet,81.83,0.0
Arabica,Typica,Other,81.83,0.11
Arabica,Other,Washed / Wet,81.83,0.13
Arabica,Bourbon,Natural / Dry,81.83,0.11
Arabica,Caturra,Natural / Dry,81.83,0.1
Arabica,Typica,Washed / Wet,81.83,0.11
Arabica,Caturra,Washed / Wet,81.83,0.0
Arabica,Other,Natural / Dry,81.83,0.0
Arabica,Bourbon,Other,81.83,0.12
Arabica,Bourbon,Washed / Wet,81.83,0.11
Arabica,Bourbon,Washed / Wet,81.83,0.12
Arabica,Typica,Other,81.83,0.12
Arabica,Bourbon,Washed / Wet,81.75,0.11
Arabica,Caturra,Washed / Wet,81.75,0.12
Arabica,Other,Washed / Wet,81.75,0.12
Arabica,Bourbon,Washed / Wet,81.75,0.13
Arabica,Other,Washed / Wet,81.75,0.13
Arabica,Typica,Washed / Wet,81.75,0.11
Arabica,Caturra,Washed / Wet,81.75,0.12
Arabica,Typica,Washed / Wet,81.75,0.12
Arabica,Caturra,Washed / Wet,81.75,0.0
Arabica,Bourbon,Natural / Dry,81.67,0.11
Arabica,Bourbon,Washed / Wet,81.67,0.1
Arabica,Bourbon,Washed / Wet,81.67,0.12
Arabica,Catuai,Washed / Wet,81.67,0.11
Arabica,Other,Natural / Dry,81.67,0.0
Arabica,Other,Washed / Wet,81.67,0.12
Arabica,Other,Washed / Wet,81.67,0.12
Arabica,Bourbon,Washed / Wet,81.67,0.1
Arabica,Other,Other,81.67,0.11
Arabica,Caturra,Natural / Dry,81.67,0.1
Arabica,Caturra,Washed / Wet,81.67,0.11
Arabica,Typica,Other,81.67,0.11
Arabica,Typica,Washed / Wet,81.67,0.11
Arabica,Typica,Washed / Wet,81.67,0.12
Arabica,Bourbon,Washed / Wet,81.67,0.11
Arabica,Typica,Washed / Wet,81.67,0.13
Arabica,Bourbon,Washed / Wet,81.67,0.11
Arabica,Bourbon,Washed / Wet,81.67,0.11
Arabica,Bourbon,Washed / Wet,81.67,0.11
Arabica,Caturra,Other,81.67,0.11
Arabica,Other,Washed / Wet,81.67,0.1
Arabica,Other,Washed / Wet,81.58,0.11
Arabica,Bourbon,Washed / Wet,81.58,0.12
Arabica,Typica,Washed / Wet,81.58,0.1
Arabica,Caturra,Washed / Wet,81.58,0.12
Arabica,Other,Washed / Wet,81.58,0.12
Arabica,Other,Washed / Wet,81.58,0.13
Arabica,Typica,Other,81.58,0.0
Arabica,Other,Washed / Wet,81.58,0.12
Arabica,Bourbon,Washed / Wet,81.58,0.12
Arabica,Typica,Washed / Wet,81.58,0.12
Arabica,Other,Natural / Dry,81.58,0.11
Arabica,Typica,Natural / Dry,81.58,0.11
Arabica,Bourbon,Washed / Wet,81.5,0.1
Arabica,Caturra,Other,81.5,0.11
Arabica,Caturra,Washed / Wet,81.5,0.1
Arabica,Typica,Natural / Dry,81.5,0.12
Arabica,Catuai,Washed / Wet,81.5,0.0
Arabica,Caturra,Washed / Wet,81.5,0.12
Arabica,Other,Washed / Wet,81.5,0.12
Arabica,Other,Washed / Wet,81.5,0.12
Arabica,Typica,Washed / Wet,81.5,0.11
Arabica,Other,Other,81.5,0.0
Arabica,Other,Washed / Wet,81.5,0.11
Arabica,Typica,Other,81.5,0.11
Arabica,Typica,Washed / Wet,81.5,0.13
Arabica,Typica,Washed / Wet,81.5,0.12
Arabica,Catuai,Washed / Wet,81.5,0.12
Arabica,Typica,Other,81.5,0.11
Arabica,Bourbon,Washed / Wet,81.5,0.13
Arabica,Typica,Natural / Dry,81.5,0.11
Arabica,Other,Washed / Wet,81.5,0.12
Arabica,Bourbon,Other,81.5,0.12
Arabica,Bourbon,Washed / Wet,81.5,0.11
Arabica,Other,Washed / Wet,81.42,0.12
Arabica,Catuai,Washed / Wet,81.42,0.1
Arabica,Catuai,Natural / Dry,81.42,0.11
Arabica,Catuai,Washed / Wet,81.42,0.12
Arabica,Typica,Washed / Wet,81.42,0.12
Arabica,Other,Washed / Wet,81.42,0.12
Arabica,Bourbon,Natural / Dry,81.42,0.0
Arabica,Bourbon,Washed / Wet,81.42,0.1
Arabica,Typica,Washed / Wet,81.42,0.0
Arabica,Bourbon,Washed / Wet,81.42,0.12
Arabica,Caturra,Washed / Wet,81.42,0.13
Arabica,Typica,Washed / Wet,81.42,0.13
Arabica,Caturra,Natural / Dry,81.42,0.11
Arabica,Caturra,Washed / Wet,81.33,0.0
Arabica,Caturra,Washed / Wet,81.33,0.11
Arabica,Catuai,Natural / Dry,81.33,0.11
Arabica,Catuai,Washed / Wet,81.33,0.09
Arabica,Other,Other,81.33,0.12
Arabica,Other,Washed / Wet,81.33,0.14
Arabica,Other,Washed / Wet,81.33,0.13
Arabica,Catuai,Washed / Wet,81.33,0.12
Arabica,Typica,Washed / Wet,81.33,0.13
Arabica,Typica,Washed / Wet,81.33,0.12
Arabica,Catuai,Natural / Dry,81.33,0.11
Arabica,Typica,Natural / Dry,81.25,0.12
Arabica,Other,Natural / Dry,81.25,0.0
Arabica,Catuai,Washed / Wet,81.25,0.1
Arabica,Catuai,Washed / Wet,81.25,0.12
Arabica,Other,Washed / Wet,81.25,0.09
Arabica,Other,Washed / Wet,81.25,0.13
Arabica,Typica,Other,81.25,0.11
Arabica,Caturra,Washed / Wet,81.25,0.11
Arabica,Typica,Washed / Wet,81.25,0.12
Arabica,Bourbon,Washed / Wet,81.17,0.12
Arabica,Caturra,Washed / Wet,81.17,0.12
Arabica,Caturra,Washed / Wet,81.17,0.11
Arabica,Catuai,Natural / Dry,81.17,0.13
Arabica,Caturra,Washed / Wet,81.17,0.12
Arabica,Typica,Natural / Dry,81.17,0.0
Arabica,Bourbon,Washed / Wet,81.17,0.12
Arabica,Caturra,Washed / Wet,81.17,0.12
Arabica,Catuai,Washed / Wet,81.17,0.11
Arabica,Catuai,Natural / Dry,81.17,0.11
Arabica,Typica,Natural / Dry,81.17,0.13
Arabica,Caturra,Washed / Wet,81.17,0.12
Arabica,Other,Natural / Dry,81.17,0.12
Arabica,Other,Natural / Dry,81.08,0.11
Arabica,Other,Washed / Wet,81.08,0.11
Arabica,Other,Natural / Dry,81.08,0.0
Arabica,Other,Washed / Wet,81.08,0.13
Arabica,Caturra,Washed / Wet,81.08,0.13
Arabica,Other,Washed / Wet,81.08,0.0
Arabica,Typica,Washed / Wet,81.08,0.13
Arabica,Typica,Washed / Wet,81.08,0.12
Arabica,Typica,Washed / Wet,81.08,0.11
Arabica,Typica,Washed / Wet,81.08,0.1
Arabica,Other,Washed / Wet,81.08,0.06
Arabica,Bourbon,Other,81.0,0.11
Arabica,Bourbon,Washed / Wet,81.0,0.0
Arabica,Other,Other,81.0,0.11
Arabica,Bourbon,Washed / Wet,81.0,0.09
Arabica,Caturra,Washed / Wet,81.0,0.0
Arabica,Bourbon,Washed / Wet,81.0,0.11
Arabica,Typica,Washed / Wet,81.0,0.12
Arabica,Caturra,Natural / Dry,81.0,0.12
Arabica,Other,Natural / Dry,81.0,0.12
Arabica,Other,Washed / Wet,81.0,0.12
Arabica,Other,Natural / Dry,81.0,0.12
Arabica,Typica,Other,81.0,0.11
Arabica,Other,Washed / Wet,81.0,0.12
Arabica,Typica,Washed / Wet,81.0,0.0
Arabica,Other,Washed / Wet,80.92,0.0
Arabica,Bourbon,Washed / Wet,80.92,0.1
Arabica,Other,Washed / Wet,80.92,0.11
Arabica,Bourbon,Washed / Wet,80.92,0.11
Arabica,Other,Other,80.92,0.0
Arabica,Other,Natural / Dry,80.92,0.1
Arabica,Other,Washed / Wet,80.92,0.12
Arabica,Other,Natural / Dry,80.92,0.12
Arabica,Typica,Washed / Wet,80.92,0.09
Arabica,Bourbon,Natural / Dry,80.92,0.1
Arabica,Caturra,Washed / Wet,80.92,0.1
Arabica,Other,Washed / Wet,80.92,0.12
Arabica,Typica,Washed / Wet,80.92,0.11
Arabica,Typica,Other,80.92,0.11
Arabica,Typica,Washed / Wet,80.92,0.11
Arabica,Typica,Washed / Wet,80.92,0.13
Arabica,Other,Washed / Wet,80.83,0.0
Arabica,Caturra,Washed / Wet,80.83,0.11
Arabica,Catuai,Other,80.83,0.13
Arabica,Typica,Washed / Wet,80.83,0.11
Arabica,Bourbon,Washed / Wet,80.83,0.13
Arabica,Other,Washed / Wet,80.83,0.1
Arabica,Catuai,Washed / Wet,80.75,0.0
Arabica,Caturra,Washed / Wet,80.75,0.12
Arabica,Other,Washed / Wet,80.75,0.12
Arabica,Caturra,Natural / Dry,80.75,0.11
Arabica,Caturra,Other,80.75,0.11
Arabica,Catuai,Washed / Wet,80.75,0.09
Arabica,Catuai,Natural / Dry,80.75,0.13
Arabica,Caturra,Washed / Wet,80.75,0.11
Arabica,Typica,Washed / Wet,80.75,0.11
Arabica,Typica,Washed / Wet,80.75,0.12
Arabica,Other,Natural / Dry,80.75,0.13
Arabica,Typica,Other,80.67,0.0
Arabica,Other,Other,80.67,0.13
Arabica,Bourbon,Washed / Wet,80.67,0.11
Arabica,Caturra,Washed / Wet,80.67,0.11
Arabica,Caturra,Washed / Wet,80.67,0.12
Arabica,Typica,Washed / Wet,80.67,0.12
Arabica,Caturra,Natural / Dry,80.67,0.0
Arabica,Bourbon,Washed / Wet,80.67,0.12
Arabica,Bourbon,Washed / Wet,80.67,0.11
Arabica,Bourbon,Washed / Wet,80.67,0.11
Arabica,Other,Washed / Wet,80.58,0.12
Arabica,Bourbon,Other,80.58,0.0
Arabica,Caturra,Washed / Wet,80.58,0.11
Arabica,Bourbon,Natural / Dry,80.58,0.11
Arabica,Other,Natural / Dry,80.5,0.0
Arabica,Caturra,Washed / Wet,80.5,0.1
Arabica,Catuai,Washed / Wet,80.5,0.11
Arabica,Other,Other,80.5,0.11
Arabica,Other,Washed / Wet,80.5,0.0
Arabica,Other,Washed / Wet,80.5,0.11
Arabica,Other,Other,80.5,0.1
Arabica,Other,Natural / Dry,80.5,0.11
Arabica,Bourbon,Washed / Wet,80.5,0.12
Arabica,Typica,Washed / Wet,80.5,0.15
Arabica,Typica,Washed / Wet,80.42,0.14
Arabica,Bourbon,Washed / Wet,80.42,0.0
Arabica,Other,Washed / Wet,80.42,0.17
Arabica,Typica,Washed / Wet,80.42,0.11
Arabica,Typica,Washed / Wet,80.42,0.1
Arabica,Caturra,Washed / Wet,80.42,0.12
Arabica,Bourbon,Washed / Wet,80.33,0.13
Arabica,Other,Washed / Wet,80.33,0.12
Arabica,Other,Other,80.33,0.11
Arabica,Bourbon,Washed / Wet,80.33,0.11
Arabica,Typica,Other,80.33,0.11
Arabica,Other,Washed / Wet,80.33,0.12
Arabica,Catuai,Natural / Dry,80.25,0.11
Arabica,Caturra,Natural / Dry,80.25,0.1
Arabica,Caturra,Washed / Wet,80.25,0.1
Arabica,Other,Natural / Dry,80.25,0.11
Arabica,Catuai,Natural / Dry,80.25,0.0
Arabica,Caturra,Washed / Wet,80.25,0.11
Arabica,Other,Natural / Dry,80.25,0.12
Arabica,Typica,Washed / Wet,80.25,0.1
Arabica,Typica,Other,80.25,0.11
Arabica,Caturra,Washed / Wet,80.25,0.11
Arabica,Caturra,Washed / Wet,80.25,0.11
Arabica,Other,Other,80.17,0.0
Arabica,Caturra,Washed / Wet,80.17,0.11
Arabica,Catuai,Washed / Wet,80.17,0.11
Arabica,Bourbon,Washed / Wet,80.17,0.11
Arabica,Typica,Washed / Wet,80.17,0.11
Arabica,Typica,Washed / Wet,80.17,0.14
Arabica,Bourbon,Washed / Wet,80.17,0.12
Arabica,Bourbon,Washed / Wet,80.17,0.11
Arabica,Bourbon,Other,80.08,0.11
Arabica,Typica,Washed / Wet,80.08,0.07
Arabica,Typica,Other,80.08,0.11
Arabica,Typica,Washed / Wet,80.08,0.11
Arabica,Typica,Other,80.08,0.11
Arabica,Typica,Washed / Wet,80.08,0.15
Arabica,Typica,Washed / Wet,80.08,0.14
Arabica,Caturra,Washed / Wet,80.0,0.1
Arabica,Other,Washed / Wet,80.0,0.0
Arabica,Typica,Washed / Wet,80.0,0.0
Arabica,Typica,Washed / Wet,80.0,0.11
Arabica,Typica,Washed / Wet,80.0,0.12
Arabica,Other,Washed / Wet,80.0,0.11
Arabica,Other,Natural / Dry,79.92,0.11
Arabica,Bourbon,Washed / Wet,79.92,0.12
Arabica,Other,Washed / Wet,79.92,0.12
Arabica,Bourbon,Washed / Wet,79.92,0.0
Arabica,Catuai,Washed / Wet,79.92,0.11
Arabica,Typica,Natural / Dry,79.92,0.12
Arabica,Other,Washed / Wet,79.92,0.11
Arabica,Other,Washed / Wet,79.83,0.11
Arabica,Bourbon,Washed / Wet,79.83,0.1
Arabica,Caturra,Washed / Wet,79.83,0.11
Arabica,Typica,Washed / Wet,79.83,0.12
Arabica,Other,Natural / Dry,79.83,0.12
Arabica,Bourbon,Washed / Wet,79.75,0.1
Arabica,Typica,Natural / Dry,79.75,0.0
Arabica,Typica,Washed / Wet,79.75,0.1
Arabica,Catuai,Washed / Wet,79.75,0.1
Arabica,Typica,Washed / Wet,79.75,0.12
Arabica,Bourbon,Washed / Wet,79.75,0.13
Arabica,Bourbon,Washed / Wet,79.75,0.12
Arabica,Bourbon,Washed / Wet,79.75,0.14
Arabica,Typica,Washed / Wet,79.75,0.1
Arabica,Bourbon,Washed / Wet,79.75,0.0
Arabica,Typica,Washed / Wet,79.75,0.12
Arabica,Bourbon,Washed / Wet,79.67,0.1
Arabica,Bourbon,Washed / Wet,79.67,0.0
Arabica,Bourbon,Washed / Wet,79.67,0.11
Arabica,Typica,Washed / Wet,79.67,0.12
Arabica,Caturra,Washed / Wet,79.67,0.13
Arabica,Other,Washed / Wet,79.67,0.0
Arabica,Typica,Washed / Wet,79.58,0.12
Arabica,Caturra,Washed / Wet,79.58,0.13
Arabica,Caturra,Natural / Dry,79.5,0.12
Arabica,Typica,Natural / Dry,79.5,0.0
Arabica,Caturra,Washed / Wet,79.5,0.0
Arabica,Caturra,Washed / Wet,79.5,0.12
Arabica,Typica,Washed / Wet,79.5,0.12
Arabica,Bourbon,Washed / Wet,79.42,0.1
Arabica,Other,Washed / Wet,79.42,0.1
Arabica,Typica,Washed / Wet,79.42,0.13
Arabica,Caturra,Washed / Wet,79.33,0.0
Arabica,Typica,Washed / Wet,79.33,0.14
Arabica,Typica,Washed / Wet,79.33,0.14
Arabica,Bourbon,Washed / Wet,79.33,0.11
Arabica,Typica,Washed / Wet,79.25,0.11
Arabica,Bourbon,Washed / Wet,79.25,0.13
Arabica,Bourbon,Washed / Wet,79.17,0.1
Arabica,Catuai,Washed / Wet,79.17,0.11
Arabica,Bourbon,Washed / Wet,79.17,0.11
Arabica,Catuai,Washed / Wet,79.17,0.11
Arabica,Catuai,Washed / Wet,79.17,0.1
Arabica,Typica,Washed / Wet,79.17,0.14
Arabica,Typica,Washed / Wet,79.17,0.14
Arabica,Bourbon,Washed / Wet,79.08,0.1
Arabica,Other,Washed / Wet,79.08,0.13
Arabica,Typica,Washed / Wet,79.08,0.16
Arabica,Other,Washed / Wet,79.08,0.11
Arabica,Typica,Washed / Wet,79.08,0.1
Arabica,Other,Washed / Wet,79.0,0.12
Arabica,Other,Washed / Wet,79.0,0.11
Arabica,Typica,Washed / Wet,79.0,0.0
Arabica,Other,Natural / Dry,79.0,0.12
Arabica,Typica,Other,79.0,0.14
Arabica,Typica,Washed / Wet,79.0,0.14
Arabica,Typica,Washed / Wet,78.92,0.12
Arabica,Typica,Washed / Wet,78.92,0.16
Arabica,Caturra,Other,78.83,0.1
Arabica,Bourbon,Washed / Wet,78.75,0.12
Arabica,Typica,Washed / Wet,78.75,0.14
Arabica,Typica,Other,78.75,0.14
Arabica,Bourbon,Washed / Wet,78.75,0.12
Arabica,Typica,Washed / Wet,78.67,0.0
Arabica,Caturra,Washed / Wet,78.67,0.13
Arabica,Other,Washed / Wet,78.58,0.12
Arabica,Typica,Washed / Wet,78.58,0.1
Arabica,Typica,Washed / Wet,78.58,0.13
Arabica,Typica,Washed / Wet,78.58,0.1
Arabica,Bourbon,Washed / Wet,78.5,0.0
Arabica,Typica,Washed / Wet,78.5,0.12
Arabica,Caturra,Washed / Wet,78.5,0.13
Arabica,Catuai,Natural / Dry,78.42,0.12
Arabica,Typica,Washed / Wet,78.42,0.14
Arabica,Other,Natural / Dry,78.33,0.1
Arabica,Other,Washed / Wet,78.33,0.1
Arabica,Bourbon,Washed / Wet,78.33,0.11
Arabica,Typica,Natural / Dry,78.33,0.13
Arabica,Bourbon,Washed / Wet,78.33,0.11
Arabica,Other,Natural / Dry,78.25,0.11
Arabica,Other,Natural / Dry,78.25,0.11
Arabica,Other,Washed / Wet,78.17,0.13
Arabica,Typica,Washed / Wet,78.08,0.11
Arabica,Other,Washed / Wet,78.0,0.0
Arabica,Other,Natural / Dry,78.0,0.11
Arabica,Other,Natural / Dry,78.0,0.12
Arabica,Other,Washed / Wet,78.0,0.1
Arabica,Typica,Washed / Wet,78.0,0.1
Arabica,Bourbon,Washed / Wet,78.0,0.11
Arabica,Other,Washed / Wet,78.0,0.12
Arabica,Caturra,Washed / Wet,77.92,0.12
Arabica,Typica,Washed / Wet,77.92,0.11
Arabica,Bourbon,Washed / Wet,77.92,0.11
Arabica,Bourbon,Washed / Wet,77.83,0.11
Arabica,Typica,Washed / Wet,77.67,0.11
Arabica,Typica,Washed / Wet,77.5,0.13
Arabica,Bourbon,Washed / Wet,77.42,0.11
Arabica,Bourbon,Natural / Dry,77.33,0.0
Arabica,Other,Washed / Wet,77.33,0.1
Arabica,Typica,Washed / Wet,77.33,0.15
Arabica,Typica,Washed / Wet,77.25,0.1
Arabica,Other,Washed / Wet,77.17,0.12
Arabica,Caturra,Washed / Wet,77.0,0.0
Arabica,Bourbon,Washed / Wet,76.5,0.12
Arabica,Typica,Washed / Wet,76.42,0.13
Arabica,Bourbon,Washed / Wet,76.33,0.11
Arabica,Bourbon,Washed / Wet,76.33,0.11
Arabica,Other,Natural / Dry,76.25,0.0
Arabica,Typica,Washed / Wet,76.17,0.16
Arabica,Other,Natural / Dry,76.17,0.12
Arabica,Bourbon,Washed / Wet,76.08,0.12
Arabica,Other,Natural / Dry,76.0,0.11
Arabica,Bourbon,Washed / Wet,75.58,0.11
Arabica,Bourbon,Washed / Wet,75.58,0.12
Arabica,Other,Washed / Wet,75.5,0.11
Arabica,Other,Washed / Wet,75.17,0.11
Arabica,Other,Washed / Wet,75.17,0.12
Arabica,Typica,Washed / Wet,75.17,0.13
Arabica,Typica,Washed / Wet,75.0,0.14
Arabica,Typica,Washed / Wet,74.92,0.17
Arabica,Typica,Washed / Wet,74.83,0.12
Arabica,Bourbon,Washed / Wet,74.75,0.11
Arabica,Bourbon,Washed / Wet,74.75,0.11
Arabica,Typica,Washed / Wet,74.67,0.12
Arabica,Other,Natural / Dry,74.42,0.0
Arabica,Bourbon,Washed / Wet,74.33,0.11
Arabica,Typica,Washed / Wet,74.33,0.14
Arabica,Typica,Washed / Wet,74.0,0.13
Arabica,Typica,Washed / Wet,73.83,0.12
Arabica,Other,Natural / Dry,73.67,0.0
Arabica,Other,Washed / Wet,73.42,0.11
Arabica,Typica,Washed / Wet,72.92,0.0
Arabica,Other,Natural / Dry,72.58,0.11
Arabica,Caturra,Washed / Wet,71.75,0.11
Arabica,Other,Washed / Wet,71.08,0.12
Arabica,Bourbon,Washed / Wet,71.0,0.11
Arabica,Typica,Washed / Wet,70.75,0.12
Arabica,Catuai,Washed / Wet,69.33,0.1
Arabica,Catuai,Washed / Wet,69.17,0.1
Arabica,Catuai,Washed / Wet,69.17,0.1
Arabica,Bourbon,Washed / Wet,68.33,0.11
Arabica,Typica,Natural / Dry,67.92,0.14
Arabica,Caturra,Other,63.08,0.13
Arabica,Catuai,Washed / Wet,59.83,0.1
